"rides","end station name","end station latitude","end station longitude"
559,"Avenue D & E 12 St",40.72580614,-73.97422494
480,"E 109 St & 3 Ave",40.79329668,-73.9432083
374,"E 106 St & 1 Ave",40.7892529,-73.93956237
117,"Commerce St & Van Brunt St",40.6812117,-74.00860912
130,"Richards St & Delavan St",40.6794327,-74.00785041
163,"Columbia St & W 9 St",40.6769993,-74.00647134
92,"Henry St & W 9 St",40.6763744,-74.00324957
292,"Clinton St & 4 Place",40.6783563,-74.00014502
261,"Court St & Nelson St",40.6763947,-73.99869893
301,"Smith St & 9 St",40.6746957,-73.99785768
141,"7 St & 3 Ave",40.67260298150126,-73.98983001708984
849,"Madison St & Clinton St",40.71269042,-73.98776323
826,"E 110 St & Madison Ave",40.7961535,-73.94782145
739,"Court St & State St",40.6902375,-73.99203074
230,"4 Ave & 9 St",40.6705135,-73.98876585
232,"7 St & 5 Ave",40.6704922,-73.98541675
152,"5 St & 6 Ave",40.6704836,-73.98208968
200,"Union St & Nevins St",40.67909799721684,-73.98765474557877
573,"Congress St & Clinton St",40.6881529,-73.99520919
825,"Bergen St & Smith St",40.6867443,-73.99063168
591,"Stanton St & Mangin St",40.71782143,-73.97628939
374,"Dean St & Hoyt St",40.6864442,-73.98759104
413,"Bond St & Bergen St",40.6849668,-73.98620772
387,"Pacific St & Nevins St",40.6853761,-73.98302136
517,"Bergen St & Flatbush Ave",40.680944723477296,-73.97567331790923
233,"Prospect Pl & 6 Ave",40.6793307,-73.97519523
499,"7 Ave & Park Pl",40.6776147,-73.97324283
460,"Baltic St & 5 Ave",40.6795766,-73.97854971
734,"Plaza St West & Flatbush Ave",40.6750207,-73.97111473
344,"Douglass St & 4 Ave",40.6792788,-73.98154004
690,"Columbia St & Rivington St",40.71739973,-73.98016555
297,"Douglass St & 3 Ave",40.6802133,-73.98432695
152,"Hoyt St & Warren St",40.6843549,-73.98901629
552,"Columbia St & Degraw St",40.6859296,-74.00242364
2585,"West Drive & Prospect Park West",40.6610633719006,-73.97945255041122
485,"E 106 St & Lexington Ave",40.791976,-73.945993
573,"2 Ave & E 104 St",40.7892105,-73.94370784
701,"Hanson Pl & Ashland Pl",40.68506807308177,-73.97790759801863
395,"Clinton Ave & Flushing Ave",40.69794,-73.96986848
222,"Richardson St & N Henry St",40.71907891179564,-73.94223690032959
2288,"Grand St & Elizabeth St",40.718822,-73.99596
1085,"Riverside Dr & W 91 St",40.79313480986663,-73.97700369358063
455,"Monroe St & Bedford Ave",40.6851443,-73.95380904
619,"Fulton St & Adams St",40.692418292578466,-73.98949474096298
823,"W 52 St & 6 Ave",40.76132983124814,-73.97982001304626
304,"Bayard St & Leonard St",40.71915571696044,-73.94885390996933
484,"Devoe St & Lorimer St",40.71335226222875,-73.9491033554077
403,"Leonard St & Maujer St",40.7103685423523,-73.94705951213837
204,"Jackson St & Leonard St",40.71638031973561,-73.94821286201477
440,"E 58 St & Madison Ave",40.76302594280519,-73.97209525108337
1471,"Bank St & Hudson St",40.73652889,-74.00618026
1877,"Murray St & Greenwich St",40.714851505262516,-74.01122331619263
723,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154
1098,"W Broadway & Spring St",40.72494672359416,-74.00165855884552
207,"India St & West St",40.73181401720966,-73.95995020866394
1134,"Greenwich St & W Houston St",40.728846,-74.008591
868,"W 15 St & 10 Ave",40.742753828659026,-74.00747358798981
411,"39 St & 2 Ave",40.65539977447831,-74.01062786579132
473,"2 Ave & 36 St",40.65708866668485,-74.00870203971863
667,"Schermerhorn St & Bond St",40.688417427540834,-73.98451656103134
1259,"Rivington St & Ridge St",40.71850211,-73.98329859
296,"E 116 St & 2 Ave",40.796879,-73.937261
323,"E 118 St & 1 Ave",40.79747,-73.93504
234,"E 118 St & Park Ave",40.8005385,-73.9419949
697,"E 118 St & 3 Ave",40.799139,-73.9389152
464,"E 115 St & Lexington Ave",40.797911,-73.9423
529,"E 114 St & 1 Ave",40.7945663,-73.9362541
549,"1 Ave & E 110 St",40.7923272,-73.9383
1010,"Pleasant Ave & E 116 St",40.7949879,-73.9333349
289,"Pleasant Ave & E 120 St",40.7974772,-73.9311847
424,"2 Ave & E 122 St",40.8006721,-73.9349
2789,"Clinton St & Grand St",40.71559509,-73.9870295
417,"E 115 St & Madison Ave",40.7989445,-73.944846
348,"E 118 St & Madison Ave",40.8014866,-73.9442507
540,"Lexington Ave & E 111 St",40.7954121,-73.9441232
297,"Madison Ave & E 120 St",40.80295,-73.942954
182,"E 123 St & Lexington Ave",40.8029263,-73.9379
234,"Lexington Ave & E 127 St",40.805726,-73.936322
226,"Lexington Ave & E 120 St",40.8013066,-73.9398167
385,"Park Ave & E 124 St",40.8045555,-73.9396861
663,"St Nicholas Ave & Manhattan Ave",40.809725,-73.953149
544,"Lenox Ave & W 115 St",40.8011939,-73.9500739
695,"Front St & Maiden Ln",40.70530954,-74.00612572
418,"Adam Clayton Powell Blvd & W 123 St",40.8078316,-73.949373
265,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423
316,"21 St & Hoyt Ave S",40.774645,-73.923706
790,"Astoria Park S & Shore Blvd",40.7767,-73.927631
239,"24 Ave & 26 St",40.774591,-73.918544
208,"31 St & Astoria Blvd",40.7699176,-73.9184057
131,"31 St & Hoyt Ave N",40.7711528,-73.9170074
888,"Lenox Ave & W 126 St",40.808442,-73.9452087
371,"Adam Clayton Powell Blvd & W 118 St",40.804372,-73.951475
1602,"Lenox Ave & W 111 St",40.7987859,-73.9523
144,"37 St & 24 Ave",40.7701477,-73.9120938
202,"24 Ave & 29 St",40.7729,-73.916142
283,"19 St & 24 Ave",40.7774552,-73.9225403
174,"23 Ave & 27 St",40.776165,-73.9153175
561,"31 St & 23 Ave",40.7747878,-73.9125551
452,"5 Ave & E 126 St",40.80698,-73.941747
359,"Steinway St & 23 Ave",40.7713937,-73.9077436
1170,"Lenox Ave & W 130 St",40.8107922,-73.9430681
361,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458
207,"Crescent St & Ditmars Blvd",40.7787185,-73.9145645
869,"Frederick Douglass Blvd & W 129 St",40.8125511,-73.9492286
494,"Ditmars Blvd & 19 St",40.78145,-73.9183302
937,"St. Nicholas Ave & W 126 St",40.8114323,-73.9518776
1117,"Frederick Douglass Blvd & W 117 St",40.805159,-73.954692
590,"Mt Morris Park W & W 120 St",40.804038,-73.945925
429,"W 116 St & Broadway",40.8082,-73.9641
415,"Carlton Ave & Dean St",40.6809741,-73.9710097
674,"W 110 St & Amsterdam Ave",40.802692,-73.96295
290,"W 116 St & Amsterdam Ave",40.8067581,-73.9607082
450,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558
424,"Morningside Ave & W 123 St",40.81,-73.9551508
428,"Amsterdam Ave & W 125 St",40.813358,-73.956461
219,"Amsterdam Ave & W 119 St",40.8086249,-73.9596214
143,"Morningside Dr & Amsterdam Ave",40.81028506306003,-73.95736455917358
305,"Underhill Ave & Pacific St",40.6804836,-73.9646795
284,"Broadway & W 122 St",40.8120562,-73.9612547
95,"Pacific St & Classon Ave",40.6791944,-73.9587903
594,"Broadway & Moylan Pl",40.8143256,-73.9590255
